image_path,neutral_prompt,stereotype_prompt,counter_prompt
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000034.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000063.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000035.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000019.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000002.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000052.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000080.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000001.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000045.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000097.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000005.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000100.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000065.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000014.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000054.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000087.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000082.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000098.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000011.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000067.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000071.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000073.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000033.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000094.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000060.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000010.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000079.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000039.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000074.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000046.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000022.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000057.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000013.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000078.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000053.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000024.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000020.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000006.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000012.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000043.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000069.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000027.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000041.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000102.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000036.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000062.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000089.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000044.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000007.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000090.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000049.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000042.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000099.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000092.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000055.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000017.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000030.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000048.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000059.jpg,Image of a plant,Image of a plant which is a sign of good luck,Image of a plant which is a sign of bad luck
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000058.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000026.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000050.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000111.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000038.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000081.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000091.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000040.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000021.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000015.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000075.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000112.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000096.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000029.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000076.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000056.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000077.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000084.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000018.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000031.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000064.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000070.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000085.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000088.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000006.jpeg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000028.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000093.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000083.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000051.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000109.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000023.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000101.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000095.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000037.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000025.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000086.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000068.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000047.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000114.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000061.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000004.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000016.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000066.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000032.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000104.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000108.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000009.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000003.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000072.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000008.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000034.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000063.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000035.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000019.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000113.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000002.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000052.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000080.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000001.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000045.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000097.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000005.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000100.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000065.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000014.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000054.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000087.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000082.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000098.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000011.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000067.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000071.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000105.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Cactus/000110.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
